J (A/cm²),TinH2 (°C),ToutH2 (°C),TinAIR (°C),ToutAIR (°C),TinWAT (°C),ToutWAT (°C),PinAIR (mbara),PoutAIR (mbara),PoutH2 (mbara),DinH2 (l/mn),DoutH2 (l/mn),DinAIR (l/mn),DoutAIR (l/mn),DWAT (l/mn),HrAIRFC (%)
0.002903185919414991,0.0009193396038671226,0.00041938160218081837,-0.0003010810416555258,-0.0006364198259541961,-0.0009411859062708729,-0.00019735100777769192,-0.0016122924369679824,0.0013461525577250382,0.0001747707840563848,-2.343550410351001e-05,0.0033828160937904215,-0.000560883306652719,0.0158605857275441,0.0007348173501941986,-0.00017908368120303665
0.00018494124304206333,0.002442778300559138,0.0034918614084670863,-9.974600756718993e-05,-0.000497831785058086,0.0007240438133244911,0.0010529870744430442,0.003348355746957188,-0.0043895155752807224,-9.740944836592703e-05,-4.029267286829768e-05,0.0001175928226745912,-0.0008987463403658521,-0.025352201821119063,0.0006386619013172283,0.0020234310793605975
0.003776970041948969,-0.0011137310033605893,-0.00161688945921973,0.00012818101113101858,0.0010954671751818908,-0.0001771442769226414,-0.0003590466567000791,-0.000564603539537472,-0.002926268987587524,-0.0001459248717060691,0.0001965543652401344,0.0006952390455764554,0.0004967911183054611,-0.027833679671129007,0.00041700812725145136,-0.0011535134245347146
0.0006579753270218694,0.002619515323966436,0.0004257145309642532,-0.00015894336108602318,0.0004943408567141399,-0.0005620297691853878,0.0007467887307623354,0.0016204796138615321,-0.0026314528459366266,-0.0005876092808862249,0.0001421605430266182,-0.001097294851736318,4.6352855159167647e-05,-0.004702264790268857,0.002092326671298526,0.0021172351127133953
-0.0010225165388551742,-0.002342266555262317,0.0007844510704729025,-0.0006337633394370398,-0.0002983929322621051,-0.0010186720537294365,-0.0006735279473253755,-0.0013882479083721759,-0.001128515655939834,-0.00027595161603381703,1.1960828950393812e-05,-0.003332493039916079,-0.0006085495258081296,0.009690228394740345,0.002280918138276718,-0.0016564591928086684
2.9779375023071775e-05,-0.008606384488338273,0.0016100582123440086,0.0006173551463814166,-0.0006159248224562296,0.0003014383505524502,0.0009700091727788835,0.0014449634654957935,-0.003087833054183361,-0.00020612772221797882,9.948639896343991e-05,-0.0006612840494819585,-0.0003475570427209726,0.004517614851781121,0.0025330122129912313,-0.0010865747879535005
-0.004163879467507043,-0.0013033354493031568,-0.002322057423141432,0.0001423960718936248,-0.0005559666617643335,-0.0009224657108967111,-0.0002231788536135312,0.0016269458577667633,-0.0057160404652519415,0.0001894696444070814,-0.00025901824612908816,0.0009264994703373926,0.000271694092935729,-0.03148445238908728,-0.0017682126767692233,-0.002480658998173848
-0.0037265434124117923,-0.0013486872331993547,-0.0016821766046731653,7.959336555839323e-05,0.0009189729044265082,-0.0019256715355655575,-0.0002784226522831664,-0.0009085656886970128,-0.0031482674030178606,-0.0003725696144199957,-0.00030351568451493646,-0.002184391694854827,0.0004263920077396499,-0.03226798193162248,-0.0016509171566671955,-0.0012188209447032792
-0.0029410005792914837,-0.0016111962051534568,-0.002584379023459584,0.00027306773642156,-0.0017499623210190745,0.002123078855309993,0.00021854587673267228,-0.0025908542853065766,-0.002869866135176116,-0.00014217929721676144,0.00031943823504937977,0.0010007923708488734,-0.0005874009918500431,-0.03446813626095064,-0.0005633326778820206,-0.003931909902311532
0.0015071589242120272,-0.0007498760807075106,0.00020435008236650105,3.516824948478436e-05,-4.927885742808088e-05,-0.0014624194936911435,-0.0003898836214800685,-0.0014374065186408887,-0.002751889523193808,-0.00027323378166457953,-8.184709268495305e-05,-0.000599101010769077,0.00032187987314993176,-0.028514125793600572,-0.0014772213832751895,0.0020531950367326237
